index,GameID,DateTime_x,IsClosed,AwayTeamID,HomeTeamID,AwayTeamScore,HomeTeamScore,TeamID,NewsID,Content,DateTime_y,Url,Source,DiffrenceInDay
143,20763,2023-11-01,True,18,24,7,6,24,27102,Calgary Flames center Adam Ruzicka (shoulder) won't play in Sunday's Heritage Classic matchup against the Oilers. He hurt his shoulder earlier in the week in a game against the Rangers and will be forced to sit out a second consecutive contest. Ruzicka boasts two goals and two assists through seven appearances this season but went three games without a point before getting injured. The 24-year-old will get his next chance to return Wednesday versus Dallas.,2023-10-29,https://www.rotoballer.com/player-news/adam-ruzicka-out-on-sunday/1262569,RotoBaller,3 days
142,20763,2023-11-01,True,18,24,7,6,24,27108,"Calgary Flames defenseman MacKenzie Weegar tallied two assists in Sunday's 5-2 loss in the Heritage Classic against Edmonton. Both helpers came on the power play as Weegar reached three points for the season with his first assists of the year. Weegar went from a 44-point guy to a 31-point player last season, and 2023-24 hasn't started well for him either. Before Sunday's action, he hadn't managed any points since Calgary's season opener, and Weegar has an awful minus-five rating through nine outings. He and the rest of the Flames clearly need to do better following a fifth consecutive loss.",2023-10-30,https://www.rotoballer.com/player-news/mackenzie-weegar-snags-two-power-play-assists-sunday/1263006,RotoBaller,2 days
30,20747,2023-10-29,True,19,2,0,2,2,27088,"Buffalo Sabres goaltender Eric Comrie sustained an lower-body injury in Friday's matchup against New Jersey. He was forced to leave the contest after allowing two goals on 18 shots. Ukko-Pekka Luukkonen came in to replace him and gave up three more goals in an eventual 5-4 defeat. Luukkonen could now become Buffalo's No. 1 for the time being, as regular starter Devon Levi (lower body) has already been on the shelf for four games. The Finnish netminder made his second appearance of the season Friday and has logged a 4.78 goals-against average with a .881 save percentage.",2023-10-28,https://www.rotoballer.com/player-news/eric-comrie-injured-on-friday/1262037,RotoBaller,1 days
31,20747,2023-10-29,True,19,2,0,2,2,27048,"Buffalo Sabres forward Tage Thompson came to life in Tuesday's matchup against Ottawa, recording two goals and an assist in a 6-4 win. He had a power-play helper on Alex Tuch's first goal of the season and scored the team's final two goals himself. Thompson, who had a monster year last term with 94 points in 78 games, was sitting on just one point through six outings this season before Tuesday's action. This will give him a bit of momentum, and we should start seeing Thompson regularly on the score sheet again.",2023-10-25,https://www.rotoballer.com/player-news/tage-thompson-tallies-three-points-in-tuesdays-win/1260468,RotoBaller,4 days
59,20735,2023-10-27,True,23,15,1,2,15,27062,"Washington Capitals defenseman Rasmus Sandin left Wednesday's 6-4 win over New Jersey early after sustaining an undisclosed injury. He logged 17:43 of ice time in the contest, leaving after taking a big hit from Devils defenseman Jonas Siegenthaler. Sadin has been quiet to start the year, and an injury layoff would be a further blow for him. He has gone scoreless in six games, registering a plus-minus rating on Washington's second defensive pairing. The Swedish blue-liner has also been part of the second power-play unit, meaning Capitals head coach Spencer Carbery will be forced into quite significant changes if Sandin needs to skip some games.",2023-10-26,https://www.rotoballer.com/player-news/rasmus-sandin-injured-on-wednesday/1260992,RotoBaller,1 days
23,20736,2023-10-27,True,20,28,0,3,28,26982,"Vancouver Canucks forward Ilya Mikheyev (knee) is set to make his season debut Saturday night for a road matchup against the Florida Panthers. The Russian speedster hasn't placed since Jan. 27 of last season as he would undergo surgery to repair a torn ACL midway through his first season with the Canucks. Mikheyev tallied 13 goals and 28 points across 46 games last season before undergoing the knife and gives the Canucks a quality middle-six winger in his return. From a fantasy perspective, the 29-year-old does not contribute enough above-average production in any particular category as he is far more valuable to the Canucks than he is to your fantasy roster.",2023-10-21,https://www.rotoballer.com/player-news/ilya-mikheyev-to-make-season-debut-saturday/1258401,RotoBaller,6 days
48,20724,2023-10-26,True,16,4,6,8,4,27033,"Montreal Canadiens left wing Tanner Pearson continued his good start to the season with a two-point performance Monday against Buffalo. He had a power-play goal and registered an assist, both in the third period, to help the team to a 3-1 win. Pearson now has points in four consecutive games, scoring three goals during the run and handing out two assists. The 31-year-old will have a chance to match his career-high with a five-game point streak Tuesday versus New Jersey.",2023-10-24,https://www.rotoballer.com/player-news/tanner-pearson-stays-hot-in-win-over-buffalo/1259864,RotoBaller,2 days
15,20731,2023-10-26,True,12,25,6,0,25,27015,"Edmonton Oilers center Connor McDavid (upper body) has been ruled out for 1-2 weeks. He missed the end of Saturday's matchup against the Jets with an upper-body injury, and Edmonton likely has to be at least three games without him. Losing a three-time league MVP is a major blow for any team, but luckily for the Oilers, McDavid is expected to return relatively quickly. Leon Draisaitl will likely now take over as the first-line center, with Oilers head coach Jay Woodcroft needing to find a new winger for the line. Adam Erne is set to replace McDavid in the lineup. ",2023-10-23,https://www.rotoballer.com/player-news/connor-mcdavid-ruled-out-for-1-2-weeks/1259271,RotoBaller,3 days
152,20717,2023-10-24,True,12,24,7,2,24,27002,"The Calgary Flames are planning to appeal Rasmus Andersson's four-game suspension. The Swedish defenseman is set to sit out his first match Sunday versus Detroit. Andersson is a key cog on Calgary's blue line, and his absence will be felt all over the ice. The 26-year-old has kicked off the 2023-24 campaign with three points (one goal, two assists) in five games with 13 shots on goal and 14 blocks. MacKenzie Weegar should receive a larger role while Andersson is out, with Jordan Oesterle set to join the lineup.",2023-10-22,https://www.rotoballer.com/player-news/flames-planning-to-appeal-rasmus-anderssons-suspension/1258848,RotoBaller,2 days
53,20689,2023-10-21,True,15,4,2,3,4,26927,"Montreal Canadiens center Kirby Dach has been ruled out for the season because of a torn ACL and MCL in his right knee. The 22-year-old was hurt in only the second game of the season against Chicago last week. It's an awful blow for Dach, who already sat out a big chunk of last season. He had started the 2023-24 campaign superbly, dishing out two assists in Montreal's season opener against Toronto. Alex Newhook has replaced Dach as the second-line center, while Tanner Pearson also joined the line in Tuesday's 5-2 loss to Minnesota.",2023-10-18,https://www.rotoballer.com/player-news/kirby-dach-done-for-season-with-knee-injury/1256347,RotoBaller,3 days
91,20686,2023-10-21,True,3,5,4,2,5,26942,"Ottawa Senators defenseman Artem Zub was forced to leave Wednesday's matchup against Washington early after getting hit by a puck. He took an Alex Ovechkin shot up high and exited after logging 14:11 of ice. Zub played his part in a big 6-1 win with a goal and two blocked shots. The Senators didn't have an update on him postgame, leaving Zub's status for Saturday's contest against Detroit up in the air. If he can't play, the Russian blue-liner will mainly be missed at the defensive end, but Zub has also enjoyed a good start offensively this season, posting three points (one goal, two assists) in four games.",2023-10-19,https://www.rotoballer.com/player-news/artem-zub-exits-with-injury-wednesday/1256914,RotoBaller,2 days
